team,runs,avg,obp,slg,ops
µÎ»ê,0.141274238,0.292707095,0.365284071,0.427070947,0.792355018
NC,0.152237271,0.290670325,0.365710335,0.462171697,0.827882033
KT,0.141096841,0.283732911,0.357669358,0.436100654,0.793770012
LG,0.141172329,0.276855371,0.349431818,0.428485697,0.777917515
·Ôµ¥,0.132298465,0.27551432,0.353463588,0.40802743,0.761491018
KIA,0.12832329,0.274458173,0.351138197,0.404091554,0.75522975
Å°¿ò,0.132669114,0.269362993,0.354526242,0.407886754,0.762412996
»ï¼º,0.12540366,0.267519805,0.337617668,0.393865529,0.731483198
SK,0.115230825,0.250464972,0.328626444,0.382723703,0.711350147
ÇÑÈ­,0.100492431,0.244549568,0.319970577,0.338338132,0.65830871
